N°,PROYECTO,PROPIETARIO,ID POSTE,LAT,LON,STATUS,ID CAJA,NO. PORTS,ID CIERRE EMP,ACTIVE CLIENTS,CONECTED TO,FLEJE,HERRAJE,BRAZO,GAZA,RAQUETA,CAJA DISTRIBUCIÓN,CIERRE DE EMPALME,REMATE,POTENCIA CALCULO,POTENCIA FISICA,CALIDAD - POTENCIA,Tag Pot
48,VILLA VICTORIA CHINICUILA,CFE,PC048,18.757122,-103.368445,0,N/A,N/A,N/A,0,PC047,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
49,VILLA VICTORIA CHINICUILA,CFE,PC049,18.757002,-103.367969,0,T1-H2-C04,16,N/A,0,PC048,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-21.3,-19.08,4.82,Excelente
50,VILLA VICTORIA CHINICUILA,CFE,PC050,18.756542,-103.369083,0,T1-H2-C07,16,N/A,0,PC033,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-20.2,-18.07,10.68,Muy bueno
51,VILLA VICTORIA CHINICUILA,CFE,PC051,18.756633,-103.3701,0,T1-H2-C06,16,N/A,0,PC033,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-20.8,-20.7,-3.38,Excelente
52,VILLA VICTORIA CHINICUILA,CFE,PC052,18.758541,-103.369678,0,T1-H3-C02,8,N/A,0,PC005,LISTO,N/A,LISTO,N/A,N/A,LISTO,N/A,N/A,-21.4,-19.13,4.55,Excelente
53,VILLA VICTORIA CHINICUILA,CFE,PC053,18.758892,-103.369673,0,N/A,N/A,N/A,0,PC052,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
54,VILLA VICTORIA CHINICUILA,CFE,PC054,18.759259,-103.369681,0,T1-H3-C07,16,N/A,0,PC053,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-20.8,-17.36,15.21,Bueno
55,VILLA VICTORIA CHINICUILA,CFE,PC055,18.759153,-103.368934,0,T1-H3-C08,8,N/A,0,PAE01,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-19.5,-16.72,19.62,Regular
56,VILLA VICTORIA CHINICUILA,CFE,PC056,18.759573,-103.369214,0,T1-H3-C09,16,N/A,0,PMN01,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-18.7,-16.12,24.07,Malo
57,VILLA VICTORIA CHINICUILA,CFE,PC057,18.758541,-103.370162,0,N/A,N/A,N/A,0,PC052,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
58,VILLA VICTORIA CHINICUILA,CFE,PC058,18.758544,-103.370668,0,T1-H3-C03,16,N/A,0,PC057,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-21.9,-18.07,10.68,Muy bueno
59,VILLA VICTORIA CHINICUILA,CFE,PC059,18.758607,-103.371605,0,N/A,N/A,N/A,0,PME01,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
60,VILLA VICTORIA CHINICUILA,CFE,PC060,18.758553,-103.372002,0,N/A,N/A,N/A,0,PC059,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
61,VILLA VICTORIA CHINICUILA,CFE,PC061,18.758728,-103.372358,0,T1-H3-C05,16,N/A,0,PC060,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-21.8,-18.28,9.41,Muy bueno
62,VILLA VICTORIA CHINICUILA,CFE,PC062,18.758982,-103.372203,0,N/A,N/A,N/A,0,PC061,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
63,VILLA VICTORIA CHINICUILA,CFE,PC063,18.759216,-103.371869,0,N/A,N/A,N/A,0,PC062,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
64,VILLA VICTORIA CHINICUILA,CFE,PC064,18.759436,-103.371524,0,T1-H3-C06,16,N/A,0,PC063,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-21.8,-18.27,9.47,Muy bueno
65,VILLA VICTORIA CHINICUILA,CFE,PC065,18.758891,-103.370716,0,N/A,N/A,N/A,0,PC058,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
66,VILLA VICTORIA CHINICUILA,CFE,PC066,18.759353,-103.370887,0,T1-H3-C04,16,N/A,0,PC065,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-20,-16.88,18.48,Regular
67,VILLA VICTORIA CHINICUILA,CFE,PC067,18.758188,-103.368532,0,N/A,N/A,N/A,0,PC003,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
68,VILLA VICTORIA CHINICUILA,CFE,PC068,18.758238,-103.368131,0,T1-H4-C03,16,N/A,0,PC067,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-20.8,-17.78,12.49,Bueno
69,VILLA VICTORIA CHINICUILA,CFE,PC069,18.758308,-103.367716,0,T1-H4-C08,16,N/A,0,PC068,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-19,-20.42,-2.06,Excelente
70,VILLA VICTORIA CHINICUILA,CFE,PC070,18.758368,-103.367402,0,N/A,N/A,N/A,0,PC069,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
71,VILLA VICTORIA CHINICUILA,CFE,PC071,18.758435,-103.367057,0,T1-H4-C09,8,N/A,0,PC070,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-18.7,-16.92,18.20,Regular
72,VILLA VICTORIA CHINICUILA,CFE,PC072,18.758518,-103.366655,0,N/A,N/A,N/A,0,PC071,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
73,VILLA VICTORIA CHINICUILA,CFE,PC073,18.758574,-103.366224,0,T1-H5-C01,16,N/A,0,PC072,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-21,-18.18,10.01,Muy bueno
