('COLI01-FIBR-TINA-XC22478', 'COLIMA', 'COLIMA', 'TINAJAS', 'Felipe Perez Arceo', 'TEPAMES CENTRAL', 'ONU', 'XC220_G3V', 'FIBRA', '10.0.48.239', '19.042666', '-103.5835', '478', 'LON', 'LOL-0', '478-COLI01-TEPAMES CENTRAL-FIBR-XC220_G3V-Felipe Perez Arceo-COLI-478')

[('COLI01-FIBR-COLI-ARIS000', 'COLIMA', 'COLIMA', 'COLIMA', 'OFICINA CENTRAL', 'CENTRAL', 'SWITCH', 'ARISTA 7050S_64_F', 'FIBRA', '10.0.10.0', '19.246546', '-103.709394', '000', 'L0', '-', '000-COLI01-CENTRAL-FIBR-ARISTA 7050S_64_F-OFICINA CENTRAL-COLI-000'),
["COLI01-FIBR-TEPA-CPE2024", "COLIMA", "COLIMA", "TEPAMES", "AP_SecundariaTepames", "TEPAMES CENTRAL", "APP", "CPE220", "FIBRA", "10.0.101.177", "19.10242687", "-103.6205264", "024", "LAPP", "LOL-000", "024-COLI01-TEPAMES CENTRAL-FIBR-CPE220-AP_SecundariaTepames-COLI-024"]

host,metric,latitude,longitude,afiliacion,ip,location
 40-VDA-T.VDA-VVU-AXIS-Q3708-PVE-F2-Juzgados de La Villa-COL01-VVU-VILL-040,5,19.248132,-103.706232,COL01-VVU-COLI-009,10.21.62.10,COLIMA
 44-VDA-T.VDA-VVU-AXIS-Q3708-PVE-F2-Jardin Villa Izcalli-COL01-VVU-VILL-044,5,19.323771,-103.740896,COL01-VVU-COMA-009,10.21.80.26,COMALA
 47-VDA-T.VDA-VVU-AXIS-Q3708-PVE-F2-Los Volcanes-COL01-VVU-VILL-047,5,19.20205117,-103.806615,COL01-VVU-COQU-009,10.21.63.134,COQUIMATLAN
 06-COQ-T.COQUIMATLAN-VVU-AXIS-Q3708-PVE-F1-Entrada a Coquimatlan-COL01-VVU-COQU-06,5,19.337271,-103.604648,COL01-VVU-CUAU-009,10.21.61.20,CUAUHTEMOC
 12-COQ-T.COQUIMATLAN-VVU-AXIS-Q3708-PVE-F1-Jardin Las Moras-COL01-VVU-COQU-012,5,19.126717,-104.342354,COL01-VVU-MANZ-009,10.21.30.18,MANZANILLO
 04-COQ-T.COQUIMATLAN-VVU-AXIS-Q3708-PVE-F2-Salida a Pueblo Juarez-COL01-VVU-COQ-04,5,19.38602222,-104.0468556,COL01-VVU-MINA-009,10.21.75.24,MINATITLAN
 12-COQ-T.COQUIMATLAN-VVU-AXIS-Q3708-PVE-F2-Jardin Las Moras-COL01-VVU-COQU-012,4,18.915426,-103.876864,COL01-VVU-TECO-009,10.21.40.162,TECOMAN
 01-CUA-T.MONTITLAN-VVU-AXIS-Q3708-PVE-F1-El Cobano-COL01-VVU-MANZ-001,5,19.270271,-103.732239,COL01-VVU-VILL-009,10.21.50.32,VILLA
 09-CUA-T.PCCUAU-VVU-AXIS-Q3708-PVE-F1-Bachillerato No. 13-COL01-VVU-CUA-09,5,19.246142,-103.703289,COL01-VVU-COLI-010,10.21.61.32,COLIMA
 13-CUA-T.MONTITLAN-VVU-AXIS-Q3708-PVE-F2-Crucero Alcaraces-COL01-VVU-MANZ-013,5,19.278276,-103.662322,COL01-VVU-CUAU-010,10.21.62.84,CUAUHTEMOC
 11-CUA-T.PCCUAU-VVU-AXIS-Q3708-PVE-F2-Presidencia Cuauhtemoc-COL01-VVU-MANZ-011,5,19.137723,-104.349454,COL01-VVU-MANZ-010,10.21.31.177,MANZANILLO
 01-IXT-T.ALCOMUN-VVU-AXIS-Q3708-PVE-F2-Arcos Ixtlahuacan-COL01-VVU-IXT-001,5,18.93439,-103.966,COL01-VVU-ARME-011,10.21.65.30,ARMERIA
 05-IXT-T.ALCOMUN-VVU-AXIS-Q3708-PVE-F2-Salida a la Presa-COL01-VVU-IXT-005,5,19.254225,-103.69626,COL01-VVU-COLI-011,10.21.61.36,COLIMA
 05-MIN-T.MINA-VVU-AXIS-Q3708-PVE-F1-Salida al Panteon Minatitlan-COL01-VVU-MINA-005,4,19.233217,-103.778445,COL01-VVU-COQU-011,10.21.63.143,COQUIMATLAN
 06-MIN-T.MINA-VVU-AXIS-Q3708-PVE-F1-Entrada a Minatitlan-COL01-VVU-MINA-006,5,19.32813,-103.60187,COL01-VVU-CUAU-011,10.21.61.24,CUAUHTEMOC
 02-MIN-T.CARB-VVU-AXIS-Q3708-PVE-F2-Jardin Paticajo-COL01-VVU-MINA-002,5,19.138228,-104.341519,COL01-VVU-MANZ-011,10.21.30.188,MANZANILLO
